0	0 1 2 3 4 5 1 6 5 1 7 4 5 8 5
0	0 1 4 2 3 4 5 8 5 1 7 4 5 1 5 1 5 6 5
0	0 1 2 3 4 5 8 5 1 5 7 5 1 8 5 1 5 1 5 1 6 4 5
0	0 4 2 3 5 7 5 1 5 4 6 5 1 5 4 5
0	4 5 4 0 1 4 2 3 5 7 5 4 5 1 5 8 5 1 5
0	0 1 4 2 3 5 4 5 4 6 5 1 5
0	0 1 4 2 3 5 1 6 5 8 5 4 5 1 8 5 1 5
0	4 0 1 4 2 3 5 4 6 7 4 1 5 1 5 6 5 8 5 4 1 5 1 4 5
0	1 0 1 4 2 3 5 7 4 5 1 5 4 5 8 4 5
0	4 5 1 0 1 4 2 3 5 7 5 4 1 5 4 6 4 1 5 8 8 1 5 5 1 5
0	0 4 1 4 2 3 5 4 6 5 4 5 4 5
0	4 0 1 4 2 3 5 4 6 5 1 5 4 5 6 5 4 5
0	4 5 0 1 4 2 3 5 4 6 5 4 6
0	5 4 0 1 4 2 3 5 7 1 4 5
1	5 4 5 4 1 0 1 3 5 4 2 4 1 4 4 5 8 8 1 1 4 4 5 7 5 8 1 4 5 6 5 1 4 5 8 5 5 4 9 4 5 1 5
1	4 0 3 4 1 4 6 8 6 8 1 7 5 1 5 5 8 5 8 1 5 9 4 5
1	4 1 0 4 0 1 3 5 3 5 4 2 4 4 5 6 6 1 4 6 5 5 9 5 8 5 5
1	4 1 4 0 0 5 0 1 0 3 1 4 4 4 8 5 6 5 7 1 4 6 8 9 5
1	4 1 4 0 3 2 4 4 8 6 5 7 1 6 1 8 5 4 6
1	4 1 4 0 1 3 2 4 4 6 4 5 6 1 4 5 5 8 1 4 4 6
1	5 0 1 3 2 4 6 5 6 7 8 1 4 4 5 6 9 4 5 8 4 5
1	1 0 1 3 5 4 2 1 4 4 5 4 4 1 6 1 8 5 5 9 4 8 5
1	1 0 1 3 4 8 5 1 8 5 7 5 1 6 5 5
1	4 1 4 0 1 3 5 4 1 4 6 5 5 7 5 5 8 5 1 6
1	8 4 0 1 3 8 5 5 8 4 5 1 7 5 8 5 8 5 4 1 6
1	8 1 4 5 4 0 1 3 4 4 4 0 8 4 5 7 1 5 1 8 5 8 5 6 1 5
1	4 0 3 1 5 8 2 4 4 1 8 5 5 4 6 1 4 1 4 5 8 5 1 5 9 5 8 5
1	4 5 0 1 4 1 4 1 3 5 6 1 5 7 8 6 1 5 9 5 5
1	1 0 1 0 1 3 2 4 4 1 6 5 6 1 5 6
1	4 1 4 0 1 3 5 4 8 5 1 5 4 2 4 5 6 5 5 8 5 4 1 4 6
1	4 1 0 1 3 4 4 1 4 5 5 6 8 5 8 5 1 4 1 4 6 5 1 5 8 6 9 5 1 4 4
1	0 4 0 3 1 4 4 4 1 6 5 5 4 1 5 8 5 1 4 5 9
1	5 1 0 1 4 3 4 2 4 5 4 1 4 5 7 5 8 1 5 9 5
1	4 1 4 0 1 3 4 2 4 4 8 6 1 7 8 8 1 5 4 6
1	4 1 0 1 0 1 3 1 4 4 8 6 7 8 5 1 1 5 5 4
